"","Title","Company","City","State","Skills"
"191","Statistician I","Bny-Mellon","Southfield"," MI","Python. SQL. R. SAS. C++. statistics. Tableau."
"192","Semiconductor Patterning Data Scientist","Carolinas-Healthcare-System","Boston"," MA","Python. SQL. R. Excel. C++. statistics. Java."
"193","Data Scientist - eBusiness","Pacific-Gas-and-Electric-Company-(pg&E)","San Antonio"," TX","C++."
"194","Autonomy - Contributor DSP and Machine Learning Real Time Optimization","Osu-Wexner-Medical-Center","Denver"," CO","Python. SQL. C++. statistics."
"195","Intern - Enterprise Data Science","Nci-Information-Systems-Inc","Mountain View"," CA","Python. SQL. R. C++."
"196","Data Analyst/Scientist","Asml","Denver"," CO","Python. SQL. R. C++. Tableau."
"197","Manager, Data & Analytics Delivery","Pacific-Gas-and-Electric-Company-(pg&E)","Honolulu"," HI","Python. SQL. R. SAS. Excel. C++. Tableau."
"198","Research Scientist","Osu-Wexner-Medical-Center","Bentonville"," AR","Python. R. Excel. C++."
"199","Statistician I","Nci-Information-Systems-Inc","Southfield"," MI","Python. SQL. R. C++."
"200","Semiconductor Patterning Data Scientist","Asml","Boston"," MA","Python. SQL. R. SAS. Excel. C++."
"201","Data Scientist - eBusiness","Parker-Hannifin","San Antonio"," TX","R. C++. Tableau."
"202","Autonomy - Contributor DSP and Machine Learning Real Time Optimization","Qualcomm","Denver"," CO","Python. SQL. C++. Java."
"203","Intern - Enterprise Data Science","Micron-Technology-Inc","Mountain View"," CA","NoSQL. R. C++. Java."
"204","Data Analyst/Scientist","Booz-Allen-Hamilton","Denver"," CO","SAS. Excel. C++. statistics. Java."
"205","Junior Quantitative Researcher - Machine Learning","Akuna-Capital","Washington"," DC","Python. R. SAS. C++. Java."
"206","Data and Research Analyst","Dupont","Honolulu"," HI","C++."
"207","Data Scientist-ISD","Vanguard","Bentonville"," AR","Python. SQL. NoSQL. R. SAS. Excel. C++. statistics."
"208","Data Scientist","Booz-Allen-Hamilton","Southfield"," MI","SQL. C++."
"209","Associate Research Scientist - Machine Learning","Kulicke-&-Soffa-Industries-Inc","San Antonio"," TX","Python. SQL. R. C++."
"210","Research Analyst","Express","Denver"," CO","R. Excel. C++."
"211","Data Scientist","Parker-Hannifin","Mountain View"," CA","C++."
"212","Sr. Data Scientist","Mckinsey-&-Company","Denver"," CO","Python. R. C++."
"213","Data Scientist","Carolinas-Healthcare-System","Washington"," DC","C++."
"214","Manager, Data & Analytics Delivery","Pacific-Gas-and-Electric-Company-(pg&E)","San Francisco"," CA","Python. R. Excel. C++. statistics. Java."
"215","Research Scientist","Osu-Wexner-Medical-Center","Columbus"," OH","Python. SQL. R. SAS. C++. statistics. Tableau."
"216","Statistician I","Nci-Information-Systems-Inc","Nashville"," TN","Python. SQL. R. Excel. C++. statistics. Java."
"217","Semiconductor Patterning Data Scientist","Asml","San Jose"," CA","C++."
"218","Data Scientist - eBusiness","Parker-Hannifin","Cleveland"," OH","Python. SQL. C++. statistics."
"219","Autonomy - Contributor DSP and Machine Learning Real Time Optimization","Qualcomm","San Diego"," CA","Python. SQL. R. C++."
